"category_id","category_description","comment"
"100","small workshop","Tallinn, Harju"
"101","small workshop","Southern Estonia"
"102","small workshop","Viru"
"103","small workshop","Pärnu, Lääne"
"104","small workshop","Järva, Raplamaa"
"105","small workshop","Viljandimaa"
"106","small workshop","Tartu"
"11","Meko Estonia e-shop",
"12","Meko Estonia counter",
"13","e-shop",
"14","export",
"15","Fixus shop",
"16","retail shop",
"17","bycicle",
"18","wholesales customer",
"200","large workshop","Harjumaa"
"201","large workshop","Southern Estonia"
"202","large workshop","Lääne-Virumaa"
"203","large workshop","Pärnu, Läänemaa"
"204","large workshop","Järva, Raplamaa"
"205","large workshop","Viljandimaa"
"206","large workshop","Tartu"
"21","Fixus shop, workshop",
"22","Carstop workshop",
"31","Freight, passenger trasportation",
"3","Fixus small workshop",
"4","Large Fixus workshop",
"5","paint workshop",
"6","CV customer",
"7","tyre workshop",
"8","government company",
"9","official representative of a manufacturer",
"60","CV workshop",
"600","CV parts shop",
"91","car sales",
"92","fleet customer",
"93","manufacturing and industry",
"94","agriculture and forestry",
"95","building and road building",
"96","two wheels",
